Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-01-25 23:23:52,2024-01-26 21:00:41,UTC-08:00,2024-01-25 23:23:52,2024-01-26 09:35:46,71,14.0,441,611,218,74,149,162,620,110,73,29,false
2024-01-24 21:00:58,2024-01-25 23:23:52,UTC-08:00,2024-01-24 21:00:58,2024-01-25 05:30:53,64,13.8,384,509,262,77,45,125,605,83,76,40,false
2024-01-22 20:59:50,2024-01-23 20:59:50,UTC-08:00,2024-01-23 12:12:00,2024-01-23 13:53:00,10,14.1,59,101,50,9,0,42,615,83,63,,true
2024-01-22 20:59:50,2024-01-23 20:59:50,UTC-08:00,2024-01-22 20:59:50,2024-01-23 05:29:20,72,13.4,434,507,335,60,39,73,600,60,88,49,false
2024-01-21 21:00:14,2024-01-22 20:59:50,UTC-08:00,2024-01-21 21:00:14,2024-01-22 06:50:34,84,13.6,486,590,257,102,127,104,580,93,83,54,false
2024-01-21 00:49:21,2024-01-21 21:00:14,UTC-08:00,2024-01-21 00:49:21,2024-01-21 10:29:23,69,13.7,427,580,234,97,96,153,615,83,73,75,false
2024-01-20 01:03:46,2024-01-21 00:49:21,UTC-08:00,2024-01-20 01:03:46,2024-01-20 09:44:19,78,13.8,461,520,194,86,181,59,592,81,88,73,false
2024-01-18 22:14:07,2024-01-20 01:03:46,UTC-08:00,2024-01-18 22:14:07,2024-01-19 08:48:06,80,13.8,495,633,320,92,83,138,621,81,78,72,false
2024-01-18 00:27:52,2024-01-18 22:14:07,UTC-08:00,2024-01-18 00:27:52,2024-01-18 09:22:21,78,13.9,458,534,192,80,186,76,585,95,86,73,false
2024-01-16 23:28:22,2024-01-18 00:27:52,UTC-08:00,2024-01-16 23:28:22,2024-01-17 10:07:21,77,14.0,494,638,314,105,75,144,643,127,77,57,false
2024-01-16 00:00:57,2024-01-16 23:28:22,UTC-08:00,2024-01-16 00:00:57,2024-01-16 09:45:11,70,13.9,458,584,264,87,107,126,658,127,81,45,false
2024-01-15 00:25:51,2024-01-16 00:00:57,UTC-08:00,2024-01-15 00:25:51,2024-01-15 08:51:01,68,13.9,418,503,139,98,181,85,617,127,83,33,false
2024-01-12 23:03:28,2024-01-14 00:00:00,UTC-08:00,2024-01-13 17:18:21,2024-01-13 18:55:55,13,14.9,82,97,63,19,0,15,661,127,97,,true
2024-01-12 23:03:28,2024-01-14 00:00:00,UTC-08:00,2024-01-12 23:03:28,2024-01-13 05:10:41,52,14.1,317,367,214,46,57,50,615,127,86,64,false
2024-01-11 21:30:38,2024-01-12 23:03:28,UTC-08:00,2024-01-11 21:30:38,2024-01-12 06:50:33,64,14.1,431,559,254,69,108,128,678,127,82,75,false
2024-01-10 20:50:07,2024-01-11 21:30:38,UTC-08:00,2024-01-10 20:50:07,2024-01-11 04:36:40,53,14.1,347,466,251,50,46,119,660,127,77,79,false
2024-01-09 20:30:00,2024-01-10 20:50:07,UTC-08:00,2024-01-09 20:30:00,2024-01-10 06:50:22,53,14.1,355,620,228,70,57,265,676,127,61,81,false
2024-01-08 20:46:10,2024-01-09 20:30:00,UTC-08:00,2024-01-08 20:46:10,2024-01-09 04:33:12,50,14.4,303,467,226,20,57,164,609,78,69,58,false
2024-01-07 20:43:25,2024-01-08 20:46:10,UTC-08:00,2024-01-07 20:43:25,2024-01-08 06:40:35,80,13.9,491,597,342,66,83,106,612,127,83,43,false
2024-01-04 21:45:54,2024-01-05 21:45:54,UTC-08:00,2024-01-04 21:45:54,2024-01-05 06:48:05,64,14.2,426,542,152,103,171,116,661,127,82,71,false
2024-01-03 20:26:21,2024-01-04 21:45:54,UTC-08:00,2024-01-03 20:26:21,2024-01-04 04:42:42,58,14.0,385,496,265,61,59,111,665,127,81,53,false
2024-01-02 21:15:16,2024-01-03 20:26:21,UTC-08:00,2024-01-02 21:15:16,2024-01-03 06:50:00,68,14.3,449,574,266,58,125,125,656,109,81,56,false
2024-01-01 20:00:00,2024-01-02 21:15:16,UTC-08:00,2024-01-01 20:00:00,2024-01-02 04:35:00,72,14.6,445,515,257,96,92,70,615,127,89,28,false
2023-12-31 01:46:42,2024-01-01 20:00:00,UTC-08:00,2023-12-31 01:46:42,2023-12-31 06:30:48,38,14.6,229,282,176,24,29,53,597,127,81,46,false
2023-12-29 22:26:47,2023-12-31 01:46:42,UTC-08:00,2023-12-30 11:15:00,2023-12-30 13:00:00,10,15.0,63,105,46,0,17,42,659,127,71,,true
2023-12-29 22:26:47,2023-12-31 01:46:42,UTC-08:00,2023-12-29 22:26:47,2023-12-30 06:20:07,57,13.9,385,473,269,48,68,88,672,127,81,92,false
2023-12-28 22:00:36,2023-12-29 22:26:47,UTC-08:00,2023-12-28 22:00:36,2023-12-29 06:20:21,56,14.3,367,499,178,89,100,132,650,127,76,92,false
2023-12-27 22:00:42,2023-12-28 22:00:36,UTC-08:00,2023-12-27 22:00:42,2023-12-28 06:20:31,60,13.7,401,499,274,53,74,98,673,127,83,,false
2023-12-26 23:14:36,2023-12-27 22:00:42,UTC-08:00,2023-12-26 23:14:36,2023-12-27 06:04:36,54,13.6,356,409,255,38,63,53,663,127,86,,false
2023-12-22 22:00:17,2023-12-23 22:00:17,UTC-08:00,2023-12-22 22:00:17,2023-12-23 06:20:19,55,14.2,373,500,271,48,54,127,678,127,75,87,false
2023-12-21 21:23:20,2023-12-22 22:00:17,UTC-08:00,2023-12-21 21:23:20,2023-12-22 06:20:07,51,14.1,333,536,189,78,66,203,659,127,66,76,false
2023-12-20 21:06:00,2023-12-21 21:23:20,UTC-08:00,2023-12-20 21:06:00,2023-12-21 06:48:00,46,15.1,294,582,174,63,57,288,641,98,53,61,false
2023-12-19 22:40:48,2023-12-20 21:06:00,UTC-08:00,2023-12-19 22:40:48,2023-12-20 06:33:16,65,13.9,365,472,265,62,38,107,562,4,77,43,false
2023-12-18 21:00:54,2023-12-19 22:40:48,UTC-08:00,2023-12-18 21:00:54,2023-12-19 06:25:54,99,13.9,471,565,226,93,152,94,478,76,85,19,false
2023-12-17 00:00:00,2023-12-18 21:00:54,UTC-08:00,2023-12-17 17:13:13,2023-12-17 19:08:34,20,,115,115,115,0,0,0,563,76,100,,true
