Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2024-01-29 21:00:16,2024-01-30 21:30:00,UTC-08:00,2024-01-30 15:03:00,2024-01-30 16:55:29,112,Swimming,13.7,888.0,167,126,21,29,38,9,0,false
2024-01-29 21:00:16,2024-01-30 21:30:00,UTC-08:00,2024-01-30 05:13:30,2024-01-30 06:46:29,92,Swimming,13.5,767.0,173,128,20,22,39,14,0,false
2024-01-28 21:00:38,2024-01-29 21:00:16,UTC-08:00,2024-01-29 15:00:30,2024-01-29 17:00:25,119,Swimming,16.0,1197.0,178,137,8,12,57,19,0,false
2024-01-26 21:00:41,2024-01-28 00:00:00,UTC-08:00,2024-01-27 09:19:30,2024-01-27 09:52:34,33,Activity,6.4,195.0,154,116,41,50,9,0,0,false
2024-01-26 21:00:41,2024-01-28 00:00:00,UTC-08:00,2024-01-27 07:00:30,2024-01-27 09:00:59,120,Swimming,15.9,1151.0,178,136,12,11,49,21,0,false
2024-01-24 21:00:58,2024-01-25 23:23:52,UTC-08:00,2024-01-25 06:01:30,2024-01-25 07:19:51,78,Activity,12.5,675.0,166,130,12,44,36,8,0,false
2024-01-23 20:59:50,2024-01-24 21:00:58,UTC-08:00,2024-01-24 17:40:30,2024-01-24 17:57:33,17,Weightlifting,5.2,98.0,147,115,53,37,10,0,0,false
2024-01-23 20:59:50,2024-01-24 21:00:58,UTC-08:00,2024-01-24 15:00:00,2024-01-24 16:58:29,118,Swimming,13.6,942.0,168,127,13,37,44,3,0,false
2024-01-22 20:59:50,2024-01-23 20:59:50,UTC-08:00,2024-01-23 15:00:30,2024-01-23 17:00:00,119,Swimming,15.2,1086.0,174,133,16,17,46,19,0,false
2024-01-22 20:59:50,2024-01-23 20:59:50,UTC-08:00,2024-01-23 06:00:00,2024-01-23 07:36:23,96,Swimming,16.3,1096.0,184,145,2,13,44,38,2,false
2024-01-21 21:00:14,2024-01-22 20:59:50,UTC-08:00,2024-01-22 17:03:00,2024-01-22 18:00:00,57,Weightlifting,7.5,309.0,139,113,55,43,2,0,0,false
2024-01-21 21:00:14,2024-01-22 20:59:50,UTC-08:00,2024-01-22 15:00:00,2024-01-22 16:59:59,119,Swimming,16.8,1216.0,184,138,15,16,35,27,4,false
2024-01-20 01:03:46,2024-01-21 00:49:21,UTC-08:00,2024-01-20 14:54:00,2024-01-20 16:10:29,76,Basketball,13.6,793.0,162,139,1,21,72,6,0,false
2024-01-20 01:03:46,2024-01-21 00:49:21,UTC-08:00,2024-01-20 12:54:00,2024-01-20 14:08:59,74,Swimming,10.7,531.0,156,122,18,32,39,0,0,false
2024-01-18 22:14:07,2024-01-20 01:03:46,UTC-08:00,2024-01-19 15:09:00,2024-01-19 15:55:29,46,Basketball,9.4,348.0,164,124,29,34,27,7,0,false
2024-01-18 00:27:52,2024-01-18 22:14:07,UTC-08:00,2024-01-18 11:00:30,2024-01-18 13:04:00,123,Swimming,16.9,1304.0,182,140,11,16,47,24,2,false
2024-01-16 00:00:57,2024-01-16 23:28:22,UTC-08:00,2024-01-16 11:06:00,2024-01-16 12:20:59,74,Swimming,13.6,737.0,171,137,13,19,50,18,0,false
2024-01-15 00:25:51,2024-01-16 00:00:57,UTC-08:00,2024-01-15 12:14:00,2024-01-15 14:14:07,120,Swimming,15.0,1044.0,178,130,15,22,40,16,0,false
2024-01-15 00:25:51,2024-01-16 00:00:57,UTC-08:00,2024-01-15 11:43:30,2024-01-15 12:10:29,26,Basketball,8.6,270.0,160,137,4,22,70,4,0,false
2024-01-12 23:03:28,2024-01-14 00:00:00,UTC-08:00,2024-01-13 10:00:30,2024-01-13 11:59:59,119,Swimming,14.6,1007.0,170,129,15,27,40,13,0,false
2024-01-10 20:50:07,2024-01-11 21:30:38,UTC-08:00,2024-01-11 15:03:00,2024-01-11 16:56:59,113,Swimming,15.4,1102.0,177,136,11,23,46,20,0,false
2024-01-10 20:50:07,2024-01-11 21:30:38,UTC-08:00,2024-01-11 05:19:30,2024-01-11 06:43:29,83,Swimming,15.1,909.0,178,142,8,13,44,34,0,false
2024-01-09 20:30:00,2024-01-10 20:50:07,UTC-08:00,2024-01-10 15:00:30,2024-01-10 16:58:21,117,Swimming,15.7,1184.0,172,138,8,12,59,19,0,false
2024-01-08 20:46:10,2024-01-09 20:30:00,UTC-08:00,2024-01-09 15:01:30,2024-01-09 16:59:29,117,Swimming,15.9,1104.0,178,134,9,14,38,29,0,false
2024-01-08 20:46:10,2024-01-09 20:30:00,UTC-08:00,2024-01-09 05:18:00,2024-01-09 06:44:59,86,Swimming,14.5,861.0,178,137,10,15,49,23,0,false
2024-01-07 20:43:25,2024-01-08 20:46:10,UTC-08:00,2024-01-08 17:19:30,2024-01-08 18:14:38,55,Activity,6.8,254.0,142,109,64,33,0,0,0,false
2024-01-07 20:43:25,2024-01-08 20:46:10,UTC-08:00,2024-01-08 15:00:00,2024-01-08 16:55:29,115,Swimming,14.9,1046.0,173,133,14,24,43,18,0,false
2024-01-03 20:26:21,2024-01-04 21:45:54,UTC-08:00,2024-01-04 05:18:00,2024-01-04 06:44:59,86,Swimming,13.8,824.0,165,135,7,21,60,8,0,false
2024-01-02 21:15:16,2024-01-03 20:26:21,UTC-08:00,2024-01-03 17:18:30,2024-01-03 17:54:57,36,Weightlifting,6.2,187.0,147,112,49,43,3,0,0,false
2024-01-02 21:15:16,2024-01-03 20:26:21,UTC-08:00,2024-01-03 15:00:00,2024-01-03 17:07:09,127,Swimming,16.6,1311.0,185,139,7,22,46,25,0,false
2024-01-01 20:00:00,2024-01-02 21:15:16,UTC-08:00,2024-01-02 15:00:00,2024-01-02 16:59:29,119,Swimming,16.0,1188.0,170,137,7,14,51,23,0,false
2024-01-01 20:00:00,2024-01-02 21:15:16,UTC-08:00,2024-01-02 05:16:30,2024-01-02 06:46:25,89,Swimming,13.4,782.0,168,131,13,34,41,12,0,false
2023-12-29 22:26:47,2023-12-31 01:46:42,UTC-08:00,2023-12-30 07:07:30,2023-12-30 08:44:59,97,Swimming,15.8,1059.0,179,142,5,18,43,34,0,false
2023-12-28 22:00:36,2023-12-29 22:26:47,UTC-08:00,2023-12-29 15:30:00,2023-12-29 16:56:59,86,Swimming,12.1,691.0,166,127,13,47,37,3,0,false
2023-12-28 22:00:36,2023-12-29 22:26:47,UTC-08:00,2023-12-29 07:00:30,2023-12-29 08:59:29,118,Swimming,16.0,1162.0,182,136,10,16,52,16,2,false
2023-12-27 22:00:42,2023-12-28 22:00:36,UTC-08:00,2023-12-28 09:16:30,2023-12-28 09:45:00,28,Weightlifting,5.4,127.0,132,110,63,36,0,0,0,false
2023-12-27 22:00:42,2023-12-28 22:00:36,UTC-08:00,2023-12-28 07:03:00,2023-12-28 08:59:22,116,Swimming,14.5,1014.0,174,132,8,35,42,12,0,false
2023-12-26 23:14:36,2023-12-27 22:00:42,UTC-08:00,2023-12-27 15:06:00,2023-12-27 16:59:59,113,Swimming,13.4,867.0,167,126,19,31,44,3,0,false
2023-12-26 23:14:36,2023-12-27 22:00:42,UTC-08:00,2023-12-27 07:00:00,2023-12-27 08:50:59,110,Swimming,15.6,1110.0,182,138,11,13,52,22,0,false
2023-12-26 00:00:00,2023-12-26 23:14:36,UTC-08:00,2023-12-26 15:03:00,2023-12-26 16:53:59,110,Swimming,16.0,1172.0,178,142,6,14,57,23,0,false
2023-12-22 22:00:17,2023-12-23 22:00:17,UTC-08:00,2023-12-23 09:22:30,2023-12-23 09:58:30,36,Activity,5.6,148.0,151,107,60,30,1,0,0,false
2023-12-22 22:00:17,2023-12-23 22:00:17,UTC-08:00,2023-12-23 06:55:30,2023-12-23 09:02:59,127,Swimming,16.1,1205.0,178,136,16,15,37,28,0,false
2023-12-21 21:23:20,2023-12-22 22:00:17,UTC-08:00,2023-12-22 15:01:30,2023-12-22 16:56:59,115,Swimming,14.3,1022.0,166,133,8,30,53,8,0,false
2023-12-21 21:23:20,2023-12-22 22:00:17,UTC-08:00,2023-12-22 09:15:00,2023-12-22 09:41:42,26,Activity,5.6,126.0,151,112,54,28,12,0,0,false
2023-12-21 21:23:20,2023-12-22 22:00:17,UTC-08:00,2023-12-22 07:00:00,2023-12-22 09:00:29,120,Swimming,15.9,1159.0,180,137,8,26,39,25,0,false
2023-12-20 21:06:00,2023-12-21 21:23:20,UTC-08:00,2023-12-21 15:03:00,2023-12-21 16:58:29,115,Swimming,15.1,1070.0,179,135,5,20,54,14,0,false
2023-12-20 21:06:00,2023-12-21 21:23:20,UTC-08:00,2023-12-21 08:09:00,2023-12-21 08:58:29,49,Swimming,7.8,296.0,164,117,17,44,21,3,0,false
2023-12-19 22:40:48,2023-12-20 21:06:00,UTC-08:00,2023-12-20 15:00:00,2023-12-20 16:59:29,119,Swimming,12.8,835.0,167,123,15,43,34,1,0,false
2023-12-19 22:40:48,2023-12-20 21:06:00,UTC-08:00,2023-12-20 09:16:30,2023-12-20 09:42:59,26,Activity,5.4,127.0,134,112,62,38,0,0,0,false
2023-12-19 22:40:48,2023-12-20 21:06:00,UTC-08:00,2023-12-20 07:01:30,2023-12-20 08:59:27,117,Swimming,15.1,1047.0,170,133,15,22,37,22,0,false
2023-12-18 21:00:54,2023-12-19 22:40:48,UTC-08:00,2023-12-19 15:01:30,2023-12-19 16:55:29,113,Swimming,17.4,1303.0,182,146,9,13,27,48,3,false
2023-12-18 21:00:54,2023-12-19 22:40:48,UTC-08:00,2023-12-19 09:15:00,2023-12-19 09:52:29,37,Weightlifting,8.7,316.0,171,131,5,49,39,6,0,false
2023-12-18 21:00:54,2023-12-19 22:40:48,UTC-08:00,2023-12-19 07:03:00,2023-12-19 08:41:59,98,Swimming,15.3,1016.0,183,140,6,17,49,25,1,false
2023-12-17 00:00:00,2023-12-18 21:00:54,UTC-08:00,2023-12-17 19:40:30,2023-12-17 21:14:59,94,Cycling,14.2,932.0,168,138,4,26,62,8,0,false
